Mrs	Louise Ellman	Louise Joyce Ellman	Ellman	mrs-louise-ellman
Sir	Peter Emery	Peter Frank Hannibal Emery	Emery	sir-peter-emery
Mr	Jeff Ennis	Jeffrey Ennis	Ennis	mr-jeff-ennis
Mr	Bill Etherington	William Etherington	Etherington	mr-bill-etherington
Mr	Nigel Evans	Nigel Martin Evans	Evans	mr-nigel-evans
Mrs	Margaret Bain	Margaret Anne Bain	Bain	mrs-margaret-bain
Mr	David Faber	David James Christian Faber	Faber	mr-david-faber
Mr	Michael Fabricant	Michael Louis David Fabricant	Fabricant	mr-michael-fabricant
Mr	Michael Fallon	Michael Cathel Fallon	Fallon	mr-michael-fallon
Mr	Ronnie Fearn	Ronald Fearn	Fearn	mr-ronnie-fearn
Mr	Frank Field	Frank Field	Field	mr-frank-field
Mr	Mark Fisher	Mark Fisher	Fisher	mr-mark-fisher
Mr	Jim Fitzpatrick	James Fitzpatrick	Fitzpatrick	mr-jim-fitzpatrick
Ms	Lorna Fitzsimons	Lorna Fitzsimons	Fitzsimons	ms-lorna-fitzsimons
Mr	Howard Flight	Howard Emerson Flight	Flight	mr-howard-flight
Ms	Caroline Flint	Caroline Louise Flint	Flint	ms-caroline-flint
Mr	Paul Flynn	Paul Phillip Flynn	Flynn	mr-paul-flynn
Mrs	Barbara Follett	Daphne Barbara Follett	Follett	mrs-barbara-follett
Mr	Eric Forth	Michael Eric Forth	Forth	mr-eric-forth
Mr	Derek Foster	Derek Foster	Foster	mr-derek-foster
Mr	Don Foster	Donald Michael Ellison Foster	Foster	mr-don-foster
Mr	Michael Foster	Michael John Foster	Foster	mr-michael-foster
Mr	Michael Foster	Michael Jabez Foster	Foster	mr-michael-foster-1
Mr	George Foulkes	George Foulkes	Foulkes	mr-george-foulkes
Mr	Norman Fowler	Peter Norman Fowler	Fowler	mr-norman-fowler
Dr	Liam Fox	Liam Fox	Fox	dr-liam-fox
Mr	Christopher Fraser	Christopher James Fraser	Fraser	mr-christopher-fraser
Mrs	Maria Fyfe	Maria Fyfe	Fyfe	mrs-maria-fyfe
Mr	Sam Galbraith	Samuel Laird Galbraith	Galbraith	mr-sam-galbraith
Mr	Roger Gale	Roger James Gale	Gale	mr-roger-gale
Mr	George Galloway	George Galloway	Galloway	mr-george-galloway
Mr	Mike Gapes	Michael John Gapes	Gapes	mr-mike-gapes
Mr	Barry Gardiner	Barry Strachan Gardiner	Gardiner	mr-barry-gardiner
